Custom Data3;Custom Data2;Custom Data1;Iteration;Method;Distance;SP Distance;SP Factor;Time;Battery;Launched Drones;Failed Drones;Station Count;Failed Stations;Sensor Count;Failed Sensors;Visited Stations;Read Sensors;Success Factor;Message
;;;1;Centered;2763,7;979,8;0,355;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;2;Centered;2254,2;1029,6;0,457;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;3;Centered;1994,4;781,7;0,392;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;4;Centered;3405,5;1197,0;0,351;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;5;Centered;1075,5;440,3;0,409;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;6;Centered;3125,1;843,7;0,270;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;7;Centered;1381,7;442,5;0,320;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2383,2;726,1;0,305;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;9;Centered;2065,9;733,2;0,355;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2610,9;652,9;0,250;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;2688,1;904,1;0,336;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;2691,4;1466,8;0,545;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;2152,8;940,1;0,437;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;3015,0;806,5;0,268;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;1066,8;431,6;0,405;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;2629,7;348,2;0,132;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;1290,7;351,5;0,272;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;2667,7;1010,7;0,379;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;2230,1;897,4;0,402;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;2421,8;463,8;0,192;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2960,4;1549,0;0,523;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;2;Centered;3040,9;2095,9;0,689;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;3;Centered;1573,0;1024,0;0,651;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2496,1;1150,7;0,461;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2136,9;823,4;0,385;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;6;Centered;2195,9;1596,1;0,727;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;7;Centered;2340,1;796,6;0,340;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;8;Centered;3082,5;2023,2;0,656;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;9;Centered;1905,7;1322,4;0,694;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;10;Centered;1943,6;1193,6;0,614;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;3980,3;2568,9;0,645;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;3531,3;2586,2;0,732;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;3708,6;3159,5;0,852;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;2862,0;1516,6;0,530;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;2168,3;854,8;0,394;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;3952,1;3352,3;0,848;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;2685,0;1141,5;0,425;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;3292,1;2232,8;0,678;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;2052,7;1469,4;0,716;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;2445,3;1695,4;0,693;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2679,8;2002,7;0,747;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;2;Centered;3424,2;2343,4;0,684;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;3;Centered;3926,2;2909,9;0,741;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;4;Centered;3469,6;2830,0;0,816;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;5;Centered;1838,8;1392,9;0,758;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;6;Centered;2701,7;1941,5;0,719;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;7;Centered;2490,3;2034,1;0,817;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;8;Centered;3513,6;3218,2;0,916;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;9;Centered;3748,3;2744,1;0,732;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;10;Centered;3469,1;2991,8;0,862;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;2714,0;2036,9;0,751;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;4266,4;3185,7;0,747;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;4167,6;3151,4;0,756;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;3522,2;2882,6;0,818;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;3651,2;3205,3;0,878;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;4190,9;3430,6;0,819;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;2894,6;2438,4;0,842;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;4252,5;3957,0;0,931;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;5117,9;4113,8;0,804;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;3788,1;3310,9;0,874;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2701,1;2314,3;0,857;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;2;Centered;3404,0;2382,2;0,700;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;3;Centered;3358,3;2818,4;0,839;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2542,3;1970,1;0,775;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2732,4;2478,6;0,907;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;6;Centered;3213,5;2415,1;0,752;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;7;Centered;3515,2;2910,9;0,828;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
