Custom Data3;Custom Data2;Custom Data1;Iteration;Method;Distance;SP Distance;SP Factor;Time;Battery;Launched Drones;Failed Drones;Station Count;Failed Stations;Sensor Count;Failed Sensors;Visited Stations;Read Sensors;Success Factor;Message
;;;1;Centered;2597,0;813,1;0,313;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;2;Centered;2224,5;999,9;0,449;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;3;Centered;1976,0;763,4;0,386;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;4;Centered;3238,4;1029,9;0,318;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;5;Centered;1569,9;934,7;0,595;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;6;Centered;2903,0;621,6;0,214;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;7;Centered;1252,1;312,9;0,250;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2348,7;691,7;0,294;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;9;Centered;2307,9;975,3;0,423;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2725,3;767,3;0,282;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;2688,1;904,1;0,336;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;2691,4;1466,8;0,545;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;2152,8;940,1;0,437;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;3015,0;806,5;0,268;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;1066,8;431,6;0,405;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;2629,7;348,2;0,132;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;1290,7;351,5;0,272;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;2667,7;1010,7;0,379;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;2230,1;897,4;0,402;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;2421,8;463,8;0,192;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2968,4;1557,0;0,525;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;2;Centered;3044,8;2099,8;0,690;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;3;Centered;1799,7;1250,6;0,695;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2677,4;1332,0;0,497;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2808,8;1495,3;0,532;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;6;Centered;2191,5;1591,7;0,726;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;7;Centered;2280,4;736,9;0,323;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;8;Centered;3041,5;1982,2;0,652;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;9;Centered;1899,4;1316,1;0,693;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2279,7;1529,8;0,671;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;3980,3;2568,9;0,645;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;3531,3;2586,2;0,732;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;3708,6;3159,5;0,852;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;2862,0;1516,6;0,530;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;2168,3;854,8;0,394;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;3952,1;3352,3;0,848;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;2685,0;1141,5;0,425;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;3292,1;2232,8;0,678;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;2052,7;1469,4;0,716;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;2445,3;1695,4;0,693;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;1;Centered;3218,5;2541,4;0,790;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;2;Centered;3718,5;2637,8;0,709;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;3;Centered;4019,5;3003,3;0,747;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;4;Centered;3645,6;3006,0;0,825;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;5;Centered;1990,6;1544,7;0,776;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;6;Centered;2989,0;2228,7;0,746;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;7;Centered;2770,6;2314,3;0,835;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;8;Centered;3439,9;3144,4;0,914;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;9;Centered;3824,2;2820,0;0,737;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;10;Centered;3627,3;3150,0;0,868;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;2714,0;2036,9;0,751;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;4266,4;3185,7;0,747;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;4167,6;3151,4;0,756;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;3522,2;2882,6;0,818;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;3651,2;3205,3;0,878;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;4190,9;3430,6;0,819;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;2894,6;2438,4;0,842;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;4252,5;3957,0;0,931;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;5117,9;4113,8;0,804;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;3788,1;3310,9;0,874;0,0;0,0;3;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2580,0;2193,2;0,850;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;2;Centered;3491,1;2469,2;0,707;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;3;Centered;3841,6;3301,8;0,859;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2519,3;1947,1;0,773;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2471,3;2217,5;0,897;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;6;Centered;3283,0;2484,6;0,757;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;7;Centered;3439,4;2835,1;0,824;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2426,7;1952,1;0,804;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;9;Centered;3233,5;2562,8;0,793;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2622,4;1858,2;0,709;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;5216,4;4829,5;0,926;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;3506,4;2484,6;0,709;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;3029,3;2489,4;0,822;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;2895,4;2323,2;0,802;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;3570,0;3316,2;0,929;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;3472,8;2674,4;0,770;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;4141,2;3536,9;0,854;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;2349,2;1874,6;0,798;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;2705,2;2034,5;0,752;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;2500,2;1736,0;0,694;0,0;0,0;4;0;5;0;0;0;0;0;0,0;
;;;1;Centered;5758,5;5758,5;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;2;Centered;3755,9;3755,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;3;Centered;4533,8;4533,8;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;4;Centered;3958,7;3958,7;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;5;Centered;3809,1;3809,1;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;6;Centered;4482,9;4482,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;7;Centered;3163,6;3163,6;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;8;Centered;4506,8;4506,8;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;9;Centered;3684,9;3684,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;10;Centered;3474,9;3474,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;5632,9;5632,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;4977,8;4977,8;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;4825,3;4825,3;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;4048,1;4048,1;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;7828,5;7828,5;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;5440,2;5440,2;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;4453,4;4453,4;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;5359,9;5359,9;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;5978,0;5978,0;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;8792,8;8792,8;1,000;0,0;0,0;5;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2433,1;2433,1;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;2;Centered;5057,7;5057,7;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;3;Centered;4443,1;4443,1;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;4;Centered;4538,6;4538,6;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;5;Centered;3827,1;3827,1;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;6;Centered;4137,1;4137,1;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;7;Centered;4491,6;4491,6;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;8;Centered;4712,9;4712,9;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;9;Centered;4618,3;4618,3;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;10;Centered;4138,2;4138,2;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;3524,4;3524,4;1,000;0,0;0,0;6;0;5;0;0;0;0;0;0,0;
