Custom Data3;Custom Data2;Custom Data1;Iteration;Method;Distance;SP Distance;SP Factor;Time;Battery;Launched Drones;Failed Drones;Station Count;Failed Stations;Sensor Count;Failed Sensors;Visited Stations;Read Sensors;Success Factor;Message
;;;1;Centered;2632,4;848,5;0,322;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;2;Centered;2224,1;999,5;0,449;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;3;Centered;1962,6;749,9;0,382;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;4;Centered;3153,0;944,5;0,300;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;5;Centered;1065,7;430,6;0,404;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;6;Centered;3180,9;899,5;0,283;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;7;Centered;1405,8;466,6;0,332;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2371,5;714,5;0,301;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;9;Centered;2029,0;696,4;0,343;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2742,5;784,5;0,286;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;2688,1;904,1;0,336;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;2691,4;1466,8;0,545;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;2152,8;940,1;0,437;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;3015,0;806,5;0,268;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;1066,8;431,6;0,405;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;2629,7;348,2;0,132;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;7;Optimised;1290,7;351,5;0,272;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;8;Optimised;2667,7;1010,7;0,379;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;9;Optimised;2230,1;897,4;0,402;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;10;Optimised;2421,8;463,8;0,192;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;1;Centered;2966,7;1555,3;0,524;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;2;Centered;3024,1;2079,1;0,688;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;3;Centered;1575,9;1026,8;0,652;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2606,4;1261,0;0,484;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2159,5;846,1;0,392;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;6;Centered;2196,5;1596,7;0,727;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;7;Centered;2414,8;871,2;0,361;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;8;Centered;3079,7;2020,4;0,656;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;9;Centered;1908,5;1325,2;0,694;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2012,8;1262,8;0,627;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;1;Optimised;3980,3;2568,9;0,645;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;2;Optimised;3531,3;2586,2;0,732;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;3;Optimised;3708,6;3159,5;0,852;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;4;Optimised;2862,0;1516,6;0,530;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;5;Optimised;2168,3;854,8;0,394;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
;;;6;Optimised;3952,1;3352,3;0,848;0,0;0,0;2;0;5;0;0;0;0;0;0,0;
