Custom Data3;Custom Data2;Custom Data1;Iteration;Method;Distance;SP Distance;SP Factor;Time;Battery;Launched Drones;Failed Drones;Station Count;Failed Stations;Sensor Count;Failed Sensors;Visited Stations;Read Sensors;Success Factor;Message
;;;1;Centered;2701,0;340,1;0,126;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;2;Centered;1766,0;333,0;0,189;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;3;Centered;2310,0;336,1;0,145;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;4;Centered;2818,1;150,5;0,053;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;5;Centered;2018,3;618,2;0,306;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;6;Centered;958,1;263,5;0,275;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;7;Centered;3191,6;1432,1;0,449;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;8;Centered;2221,0;438,2;0,197;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;9;Centered;1714,5;116,1;0,068;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;10;Centered;2440,4;501,0;0,205;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;11;Centered;1624,1;650,7;0,401;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;12;Centered;2451,4;402,1;0,164;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;13;Centered;1754,9;646,4;0,368;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;14;Centered;2243,1;728,0;0,325;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;15;Centered;2520,9;741,6;0,294;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;16;Centered;1524,0;311,6;0,204;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;17;Centered;2633,1;1059,7;0,402;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;18;Centered;2053,5;745,8;0,363;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;19;Centered;2079,7;192,6;0,093;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;20;Centered;1952,0;532,7;0,273;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;21;Centered;1745,3;321,3;0,184;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;22;Centered;2588,4;664,1;0,257;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;23;Centered;2102,8;791,2;0,376;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;24;Centered;2086,3;556,5;0,267;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;25;Centered;3027,5;880,0;0,291;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;26;Centered;1637,4;726,5;0,444;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;27;Centered;2045,6;701,3;0,343;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
;;;28;Centered;2272,1;302,3;0,133;0,0;0,0;1;0;5;0;0;0;0;0;0,0;
